retriever,question_id,question,split,should_abstain,abstained,abstain_reason,gold_chunk_ids,retrieved_chunk_ids,citations,top_scores
bm25,q_val_001,AWD方法中，安全水位降到土表下多少厘米时应该复灌？,validation,False,False,,"[""chunk_001""]","[""chunk_001"", ""chunk_012"", ""chunk_015"", ""chunk_016"", ""chunk_004"", ""chunk_017"", ""chunk_002"", ""chunk_006"", ""chunk_020"", ""chunk_018""]","[""s01#chunk_001""]","[42.89593, 17.65053, 14.129484, 13.382364, 13.348851, 11.882467, 11.175935, 10.537572, 8.978871, 7.857073]"
bm25,q_val_002,连续浅淹的水层深度通常维持在什么范围？,validation,False,False,,"[""chunk_003""]","[""chunk_003"", ""chunk_004"", ""chunk_001"", ""chunk_018"", ""chunk_011"", ""chunk_005"", ""chunk_017"", ""chunk_009"", ""chunk_015"", ""chunk_013""]","[""s02#chunk_003""]","[48.97169, 17.753211, 10.982112, 8.470388, 7.796942, 5.80533, 4.171192, 3.555961, 2.992619, 2.870311]"
bm25,q_val_003,根据IRRI资料，AWD在适用条件下能节省多少百分比的灌溉用水？,validation,False,False,,"[""chunk_006""]","[""chunk_006"", ""chunk_003"", ""chunk_001"", ""chunk_007"", ""chunk_004"", ""chunk_012"", ""chunk_020"", ""chunk_009"", ""chunk_002"", ""chunk_008""]","[""s03#chunk_006""]","[35.461218, 24.413328, 22.441202, 20.858817, 18.096984, 12.476204, 11.706563, 11.620241, 10.547282, 10.045109]"
bm25,q_val_004,AWD对稻田甲烷排放有什么影响？减排幅度是多少？,validation,False,False,,"[""chunk_007""]","[""chunk_007"", ""chunk_008"", ""chunk_003"", ""chunk_014"", ""chunk_006"", ""chunk_002"", ""chunk_013"", ""chunk_005"", ""chunk_001"", ""chunk_004""]","[""s03#chunk_007""]","[37.825503, 18.095748, 17.230966, 11.353248, 10.95083, 10.876669, 8.825756, 8.615386, 7.588429, 6.217905]"
bm25,q_val_005,影响AWD干燥天数的主要因素有哪些？,validation,False,True,below_threshold,"[""chunk_002""]","[""chunk_002"", ""chunk_001"", ""chunk_007"", ""chunk_014"", ""chunk_018"", ""chunk_004"", ""chunk_013"", ""chunk_005"", ""chunk_008"", ""chunk_016""]",[],"[24.882648, 19.322762, 19.012612, 12.547285, 7.281878, 6.697161, 5.904872, 5.557246, 5.179381, 4.867727]"
bm25,q_val_006,江苏DB32/T 2950-2016标准适用于什么类型的水稻种植？,validation,False,False,,"[""chunk_009""]","[""chunk_009"", ""chunk_010"", ""chunk_014"", ""chunk_002"", ""chunk_003"", ""chunk_001"", ""chunk_019"", ""chunk_006"", ""chunk_020"", ""chunk_011""]","[""s05#chunk_009"", ""s05#chunk_010""]","[45.105509, 35.552522, 11.33013, 10.11019, 8.634376, 6.821428, 6.648747, 6.017443, 4.662928, 4.628469]"
bm25,q_val_007,收获前为什么要放水晒田？,validation,False,False,,"[""chunk_013""]","[""chunk_013"", ""chunk_014"", ""chunk_007"", ""chunk_004"", ""chunk_008"", ""chunk_003"", ""chunk_015"", ""chunk_016"", ""chunk_012"", ""chunk_010""]","[""s07#chunk_013""]","[30.325899, 19.85248, 3.924793, 3.901653, 3.61867, 3.391112, 2.66656, 2.421678, 2.332375, 1.8988]"
bm25,q_val_008,国家节水技术政策大纲对水稻灌溉提出了什么方向？,validation,False,False,,"[""chunk_011""]","[""chunk_011"", ""chunk_012"", ""chunk_009"", ""chunk_005"", ""chunk_003"", ""chunk_013"", ""chunk_010"", ""chunk_002"", ""chunk_015"", ""chunk_017""]","[""s06#chunk_011"", ""s06#chunk_012""]","[60.705967, 40.375633, 15.637607, 12.341467, 11.091767, 10.191267, 8.232951, 7.017451, 6.679506, 6.578115]"
bm25,q_val_009,田埂和进排水渠对田间独立控水有什么影响？,validation,False,False,,"[""chunk_005""]","[""chunk_005"", ""chunk_002"", ""chunk_014"", ""chunk_016"", ""chunk_004"", ""chunk_001"", ""chunk_007"", ""chunk_008"", ""chunk_015"", ""chunk_020""]","[""s02#chunk_005""]","[50.780245, 11.760461, 11.309273, 10.536132, 9.035961, 7.969006, 7.465879, 7.348105, 5.896553, 4.54768]"
bm25,q_val_010,RAG（检索增强生成）方法的核心概念是什么？由谁在什么论文中提出？,validation,False,False,,"[""chunk_017""]","[""chunk_017"", ""chunk_018"", ""chunk_019"", ""chunk_020"", ""chunk_012"", ""chunk_003"", ""chunk_004"", ""chunk_011"", ""chunk_010"", ""chunk_014""]","[""s08#chunk_017"", ""s09#chunk_018""]","[48.611659, 31.502562, 21.707255, 14.207077, 10.30494, 10.066005, 8.855003, 7.240107, 6.124002, 5.049681]"
bm25,q_val_011,MPC基线验证实验的主要结论是什么？MPC在水位控制和用水量方面表现如何？,validation,False,False,,"[""chunk_015""]","[""chunk_015"", ""chunk_016"", ""chunk_020"", ""chunk_006"", ""chunk_003"", ""chunk_005"", ""chunk_017"", ""chunk_008"", ""chunk_019"", ""chunk_001""]","[""s11#chunk_015""]","[41.972418, 20.175828, 17.395864, 15.220818, 15.110018, 12.459711, 12.445643, 11.678899, 10.553049, 9.109494]"
bm25,q_val_012,江西赣州的双季稻田AWD具体应该降到土表下多少厘米再复灌？,validation,True,True,insufficient_evidence:regional_prescription,[],"[""chunk_001"", ""chunk_012"", ""chunk_010"", ""chunk_002"", ""chunk_006"", ""chunk_020"", ""chunk_004"", ""chunk_014"", ""chunk_013"", ""chunk_009""]",[],"[27.780413, 18.141313, 15.493859, 12.696043, 12.304321, 11.488112, 11.463704, 10.814023, 10.515016, 9.141278]"
bm25,q_val_013,请帮我把3号水泵打开，灌溉30分钟。,validation,True,True,control_request,[],"[""chunk_020"", ""chunk_010"", ""chunk_002"", ""chunk_006"", ""chunk_015"", ""chunk_011"", ""chunk_013"", ""chunk_016"", ""chunk_003"", ""chunk_001""]",[],"[6.415297, 5.756699, 5.002906, 4.930193, 4.827937, 3.92894, 3.3312, 3.062896, 2.899945, 2.821069]"
bm25,q_val_014,本项目稻田实测的AWD节水率是多少？,validation,True,True,below_threshold,[],"[""chunk_008"", ""chunk_006"", ""chunk_015"", ""chunk_002"", ""chunk_016"", ""chunk_013"", ""chunk_004"", ""chunk_011"", ""chunk_005"", ""chunk_009""]",[],"[25.491821, 12.173228, 11.798326, 9.03234, 8.813988, 8.035779, 5.874036, 5.873851, 5.830467, 5.312978]"
bm25,q_val_015,DB32/T 2950-2016标准中规定的具体灌水上限和排水下限数值是多少厘米？,validation,True,True,insufficient_evidence:standard_clause_not_in_kb,[],"[""chunk_012"", ""chunk_009"", ""chunk_010"", ""chunk_006"", ""chunk_014"", ""chunk_005"", ""chunk_002"", ""chunk_020"", ""chunk_008"", ""chunk_013""]",[],"[30.165754, 29.496021, 21.435971, 17.397165, 17.230347, 12.08282, 9.433094, 9.177195, 8.308421, 7.683173]"
